"partenza" "durata" "giorno"
"85" 7.8 0.63 "feriale"
"373" 6.81 0.54 "feriale"
"889" 8.75 0.62 "feriale"
"379" 7.05 0.58 "feriale"
"866" 7.36 0.72 "feriale"
"89" 6.86 0.55 "feriale"
"920" 7.85 0.42 "festivo"
"849" 6.97 0.53 "feriale"
"835" 7.69 0.6 "feriale"
"1087" 6.2 0.41 "festivo"
"606" 6.55 0.36 "feriale"
"612" 6.76 0.55 "feriale"
"483" 9 0.65 "feriale"
"1068" 8.53 0.55 "festivo"
"610" 7.66 0.6 "feriale"
"603" 6.28 0.47 "feriale"
"992" 7.3 0.46 "festivo"
"109" 8.76 0.5 "feriale"
"92" 6.85 0.52 "feriale"
"469" 8.37 0.6 "feriale"
"366" 7.66 0.55 "feriale"
"296" 8.24 0.54 "feriale"
"613" 6.37 0.41 "feriale"
"79" 6.96 0.53 "feriale"
"1033" 8.96 0.56 "festivo"
"936" 8.67 0.61 "festivo"
"310" 7.69 0.62 "feriale"
"812" 7.74 0.58 "feriale"
"201" 7.44 0.59 "feriale"
"781" 6.85 0.49 "feriale"
"93" 8.29 0.62 "feriale"
"1078" 8.97 0.65 "festivo"
"662" 7.35 0.68 "feriale"
"876" 7.76 0.62 "feriale"
"851" 8.86 0.61 "feriale"
"368" 6.25 0.45 "feriale"
"320" 6.96 0.58 "feriale"
"269" 7.16 0.61 "feriale"
"591" 8.37 0.6 "feriale"
"708" 7.91 0.72 "feriale"
"412" 8.59 0.65 "feriale"
"200" 6.43 0.46 "feriale"
"599" 6.83 0.49 "feriale"
"1076" 6.31 0.48 "festivo"
"246" 7.07 0.61 "feriale"
"790" 6.7 0.59 "feriale"
"565" 6.18 0.46 "feriale"
"641" 6.07 0.47 "feriale"
"1036" 7.38 0.5 "festivo"
"1040" 8.14 0.55 "festivo"
"424" 7.53 0.65 "feriale"
"1080" 6.61 0.33 "festivo"
"414" 6.06 0.37 "feriale"
"639" 8.09 0.67 "feriale"
"687" 7.11 0.55 "feriale"
"1027" 7.81 0.51 "festivo"
"389" 6.29 0.42 "feriale"
"313" 8 0.57 "feriale"
"964" 7.76 0.54 "festivo"
"442" 6.13 0.47 "feriale"
"609" 8.09 0.57 "feriale"
"758" 8.74 0.61 "feriale"
"430" 8.87 0.57 "feriale"
"481" 7.22 0.57 "feriale"
"112" 7.54 0.55 "feriale"
"21" 7.49 0.64 "feriale"
"381" 7.18 0.58 "feriale"
"965" 7.71 0.54 "festivo"
"770" 6.23 0.47 "feriale"
"803" 7 0.53 "feriale"
"53" 7.39 0.55 "feriale"
"528" 7.31 0.58 "feriale"
"1091" 6.78 0.4 "festivo"
"1026" 7.27 0.48 "festivo"
"798" 6.11 0.37 "feriale"
"1013" 8.17 0.42 "festivo"
"773" 8.99 0.49 "feriale"
"102" 8.16 0.61 "feriale"
"938" 6.27 0.35 "festivo"
"1112" 8.07 0.45 "festivo"
"494" 8.43 0.66 "feriale"
"1052" 6.01 0.49 "festivo"
"671" 7.46 0.6 "feriale"
"347" 7.19 0.51 "feriale"
"1019" 8.85 0.51 "festivo"
"326" 7.88 0.65 "feriale"
"1006" 7.34 0.49 "festivo"
"94" 6.14 0.47 "feriale"
"26" 6.95 0.47 "feriale"
"87" 8.72 0.66 "feriale"
"8" 6.89 0.57 "feriale"
"270" 6.21 0.34 "feriale"
"280" 6.53 0.5 "feriale"
"152" 6.61 0.54 "feriale"
"475" 6.64 0.45 "feriale"
"582" 7.86 0.59 "feriale"
"1035" 7.03 0.44 "festivo"
"34" 6.2 0.47 "feriale"
"1015" 8.03 0.49 "festivo"
"361" 7.53 0.54 "feriale"
"352" 7.87 0.63 "feriale"
"411" 7.48 0.63 "feriale"
"888" 8.7 0.6 "feriale"
"929" 8.85 0.58 "festivo"
"427" 7.29 0.55 "feriale"
"567" 7.42 0.62 "feriale"
"725" 7.14 0.53 "feriale"
"478" 8.67 0.63 "feriale"
"482" 6.87 0.56 "feriale"
"134" 8.01 0.69 "feriale"
"518" 8.96 0.66 "feriale"
"13" 6.46 0.43 "feriale"
"523" 6.21 0.46 "feriale"
"10" 6.12 0.43 "feriale"
"818" 6.55 0.44 "feriale"
"600" 8.98 0.59 "feriale"
"209" 7.92 0.67 "feriale"
"378" 8.88 0.61 "feriale"
"36" 8.56 0.67 "feriale"
"845" 6.04 0.48 "feriale"
"949" 8.13 0.56 "festivo"
"847" 6.98 0.57 "feriale"
"1051" 6.29 0.4 "festivo"
"465" 6.11 0.33 "feriale"
"1000" 8.91 0.71 "festivo"
"527" 7.7 0.57 "feriale"
"1114" 6.03 0.43 "festivo"
"747" 8.91 0.58 "feriale"
"516" 6.18 0.41 "feriale"
"1106" 8.06 0.6 "festivo"
"712" 7.7 0.59 "feriale"
"444" 6.35 0.5 "feriale"
"515" 8.16 0.63 "feriale"
"262" 6.44 0.48 "feriale"
"1018" 7.93 0.47 "festivo"
"619" 8.48 0.7 "feriale"
"163" 7.38 0.58 "feriale"
"306" 8.94 0.6 "feriale"
"476" 8.22 0.61 "feriale"
"1072" 6 0.41 "festivo"
"420" 8.8 0.62 "feriale"
"638" 6.73 0.52 "feriale"
"1002" 7.22 0.49 "festivo"
"124" 8.14 0.65 "feriale"
"1056" 6.31 0.46 "festivo"
"186" 6.48 0.51 "feriale"
"1007" 7.07 0.51 "festivo"
"78" 8.95 0.63 "feriale"
"919" 6.02 0.43 "festivo"
"100" 7.43 0.65 "feriale"
"294" 8.41 0.55 "feriale"
"774" 6.65 0.6 "feriale"
"161" 7.72 0.58 "feriale"
"765" 7.1 0.63 "feriale"
"980" 6.47 0.44 "festivo"
"220" 7.45 0.64 "feriale"
"522" 7.5 0.68 "feriale"
"525" 6.79 0.59 "feriale"
"511" 7.29 0.57 "feriale"
"357" 6.05 0.42 "feriale"
"367" 8.26 0.57 "feriale"
"514" 6.16 0.41 "feriale"
"1043" 7.27 0.46 "festivo"
"203" 8.43 0.67 "feriale"
"754" 7.52 0.59 "feriale"
"635" 6.62 0.53 "feriale"
"862" 6.35 0.43 "feriale"
"1060" 8.55 0.61 "festivo"
"973" 6.6 0.4 "festivo"
"234" 7.46 0.53 "feriale"
"252" 8.81 0.57 "feriale"
"365" 8.27 0.59 "feriale"
"587" 8.7 0.67 "feriale"
"953" 6.73 0.42 "festivo"
"750" 7.92 0.64 "feriale"
"253" 7.82 0.69 "feriale"
"568" 8.51 0.62 "feriale"
"756" 6.29 0.43 "feriale"
"260" 7.72 0.69 "feriale"
"990" 6.75 0.34 "festivo"
"556" 8.21 0.65 "feriale"
"23" 7.66 0.57 "feriale"
"342" 8.97 0.53 "feriale"
"490" 8.52 0.71 "feriale"
"450" 8.31 0.6 "feriale"
"894" 7.35 0.65 "feriale"
"180" 6.39 0.56 "feriale"
"788" 8.69 0.57 "feriale"
"506" 8.75 0.66 "feriale"
"1039" 8.51 0.52 "festivo"
"577" 8.15 0.64 "feriale"
"281" 8.1 0.68 "feriale"
"1020" 7.55 0.5 "festivo"
"1121" 7.41 0.4 "festivo"
"181" 8.98 0.52 "feriale"
"407" 7.59 0.62 "feriale"
"905" 7.76 0.65 "feriale"
"593" 6.53 0.43 "feriale"
"636" 8.12 0.6 "feriale"
"441" 6.49 0.46 "feriale"
"921" 7.88 0.46 "festivo"
"737" 6.58 0.51 "feriale"
"314" 6.2 0.4 "feriale"
"952" 7.24 0.42 "festivo"
"120" 8.32 0.61 "feriale"
"492" 7.62 0.6 "feriale"
"684" 8.09 0.58 "feriale"
"1127" 7.88 0.49 "festivo"
"322" 8.79 0.62 "feriale"
"989" 6.29 0.44 "festivo"
"863" 8.89 0.56 "feriale"
"703" 6.65 0.55 "feriale"
"1103" 8.41 0.58 "festivo"
"895" 6.33 0.43 "feriale"
"105" 8.79 0.6 "feriale"
"624" 6.64 0.59 "feriale"
"388" 8.96 0.69 "feriale"
"104" 6.62 0.46 "feriale"
"692" 8.76 0.67 "feriale"
"328" 7.97 0.65 "feriale"
"391" 8.69 0.65 "feriale"
"101" 7.61 0.62 "feriale"
"20" 6.62 0.59 "feriale"
"453" 7.62 0.52 "feriale"
"1115" 7.75 0.52 "festivo"
"1058" 8.07 0.6 "festivo"
"620" 8.9 0.57 "feriale"
"456" 6.7 0.49 "feriale"
"446" 6.55 0.59 "feriale"
"303" 7.83 0.62 "feriale"
"513" 8.59 0.53 "feriale"
"821" 7.12 0.51 "feriale"
"607" 7.11 0.53 "feriale"
"723" 7.22 0.61 "feriale"
"604" 8.07 0.61 "feriale"
"4" 6.39 0.52 "feriale"
"90" 6.42 0.44 "feriale"
"545" 7.79 0.59 "feriale"
"763" 8.52 0.68 "feriale"
"701" 7.04 0.56 "feriale"
"538" 7.93 0.61 "feriale"
"757" 8.04 0.58 "feriale"
"1096" 6.45 0.47 "festivo"
"883" 6 0.48 "feriale"
"1109" 7.61 0.42 "festivo"
"569" 8.48 0.59 "feriale"
"960" 7.43 0.5 "festivo"
"386" 6.67 0.53 "feriale"
"65" 8.59 0.65 "feriale"
"130" 8.38 0.68 "feriale"
"797" 8.04 0.62 "feriale"
"969" 7.08 0.51 "festivo"
"5" 6.77 0.56 "feriale"
"344" 8.13 0.58 "feriale"
"688" 8.75 0.7 "feriale"
"173" 7.04 0.49 "feriale"
"665" 8.06 0.54 "feriale"
"778" 6.21 0.43 "feriale"
"121" 6.84 0.5 "feriale"
"993" 8.58 0.58 "festivo"
"37" 6.71 0.64 "feriale"
"299" 7.07 0.56 "feriale"
"957" 6.45 0.4 "festivo"
"205" 8.77 0.64 "feriale"
"129" 8.34 0.6 "feriale"
"197" 8.08 0.64 "feriale"
"241" 7.87 0.61 "feriale"
"629" 8.87 0.66 "feriale"
"324" 6.6 0.56 "feriale"
"1110" 6.03 0.41 "festivo"
"1009" 6.56 0.48 "festivo"
"510" 6.7 0.48 "feriale"
"183" 6.99 0.48 "feriale"
"657" 7.89 0.61 "feriale"
"555" 7.45 0.51 "feriale"
"710" 7.54 0.6 "feriale"
"63" 8.7 0.66 "feriale"
"68" 8.72 0.63 "feriale"
"283" 8.56 0.62 "feriale"
"35" 6.64 0.54 "feriale"
"81" 6.58 0.52 "feriale"
"437" 8.59 0.57 "feriale"
"316" 6.54 0.46 "feriale"
"922" 8.18 0.46 "festivo"
"783" 7.37 0.51 "feriale"
"535" 8.29 0.58 "feriale"
"584" 6.97 0.55 "feriale"
"103" 6.42 0.51 "feriale"
"558" 6.2 0.45 "feriale"
"257" 8.91 0.59 "feriale"
"842" 8.54 0.6 "feriale"
"228" 7.27 0.65 "feriale"
"946" 8.46 0.6 "festivo"
"99" 6.47 0.47 "feriale"
"733" 7.6 0.65 "feriale"
"878" 8.47 0.62 "feriale"
"1119" 8.68 0.55 "festivo"
"224" 6.88 0.57 "feriale"
"114" 8.97 0.51 "feriale"
"223" 6.45 0.5 "feriale"
"434" 8.81 0.53 "feriale"
"1101" 6.11 0.31 "festivo"
"864" 8.29 0.68 "feriale"
"287" 6.57 0.47 "feriale"
"524" 8.3 0.67 "feriale"
"47" 8.38 0.59 "feriale"
"419" 6.79 0.6 "feriale"
"461" 8.75 0.66 "feriale"
"817" 6.39 0.46 "feriale"
"628" 8.71 0.73 "feriale"
"266" 8.24 0.67 "feriale"
"153" 6.09 0.43 "feriale"
"178" 6.69 0.44 "feriale"
"908" 6.61 0.36 "festivo"
"802" 7.76 0.63 "feriale"
"132" 6.48 0.46 "feriale"
"598" 6.8 0.48 "feriale"
"339" 7.06 0.61 "feriale"
"860" 8.67 0.64 "feriale"
"18" 8.47 0.58 "feriale"
"578" 8.89 0.58 "feriale"
"447" 8.77 0.61 "feriale"
"571" 7.29 0.62 "feriale"
"844" 8.66 0.65 "feriale"
"236" 8.32 0.64 "feriale"
"954" 6.61 0.4 "festivo"
"611" 6.53 0.45 "feriale"
"32" 8.97 0.59 "feriale"
"813" 8.16 0.65 "feriale"
"967" 7.75 0.41 "festivo"
"455" 7.69 0.55 "feriale"
"930" 7.64 0.53 "festivo"
"462" 6.83 0.57 "feriale"
"693" 8.11 0.64 "feriale"
"717" 6.06 0.38 "feriale"
"942" 6.34 0.46 "festivo"
"937" 8.49 0.67 "festivo"
"401" 6.2 0.45 "feriale"
"670" 8.85 0.57 "feriale"
"976" 8.7 0.64 "festivo"
"585" 6.89 0.61 "feriale"
"372" 8.22 0.55 "feriale"
"468" 6.07 0.45 "feriale"
"25" 7.08 0.58 "feriale"
"91" 6.32 0.42 "feriale"
"966" 6.68 0.39 "festivo"
"1025" 7.19 0.39 "festivo"
"317" 7.32 0.48 "feriale"
"80" 8.27 0.61 "feriale"
"1094" 6.87 0.45 "festivo"
"975" 7.97 0.49 "festivo"
"658" 7.84 0.61 "feriale"
"54" 8.21 0.6 "feriale"
"575" 8.25 0.61 "feriale"
"838" 8.72 0.6 "feriale"
