"X19_A" "X19_C"
"1664" 113 262
"1665" 105 243
"1666" 245 251
"1667" 267 249
"1668" 241 236
"1669" 107 238
"1670" 102 253
"1671" 251 252
"1672" 261 264
"1673" 252 231
"1674" 247 264
"1675" 106 259
"1676" 242 253
"1677" 253 256
"1678" 194 238
"1679" 253 263
"1680" 250 247
"1681" 277 259
"1682" 246 254
"1683" 82 233
"1684" 101 233
"1685" 229 236
"1686" 102 256
"1687" 194 254
"1688" 248 249
"1689" 116 223
"1690" 216 261
"1691" 243 241
"1692" 102 252
"1693" 80 227
"1694" 194 249
"1695" 180 238
"1696" 255 243
"1697" 92 261
"1698" 199 251
"1699" 204 258
"1700" 85 240
"1701" 87 240
"1702" 94 253
"1703" 102 251
"1704" 105 247
"1705" 233 230
"1706" 109 247
"1707" 214 266
"1708" 259 257
"1709" 255 251
"1710" 194 253
"1711" 268 273
"1712" 259 251
"1713" 195 245
"1714" 244 232
"1715" 99 256
"1716" 209 242
"1717" 236 253
"1718" 94 239
"1719" 256 253
"1720" 248 245
"1721" 250 245
"1722" 89 238
"1723" 207 248
"1724" 243 245
"1725" 249 241
"1726" 217 224
"1727" 254 254
"1728" 108 266
"1729" 244 248
"1730" 244 257
"1731" 241 249
"1732" 88 249
"1733" 242 250
"1734" 246 252
"1735" 201 246
"1736" 192 237
"1737" 85 241
"1738" 104 255
"1739" 261 253
"1740" 257 259
"1741" 100 249
"1742" 237 255
"1743" 258 236
"1744" 235 263
"1745" 252 259
"1746" 206 251
"1747" 242 243
"1748" 261 258
"1749" 93 244
"1750" 107 272
"1751" 94 237
"1752" 186 229
"1753" 257 254
"1754" 98 249
"1755" 232 237
"1756" 210 247
"1757" 186 249
"1758" 105 248
"1759" 250 256
"1760" 99 254
"1761" 243 248
"1762" 103 253
"1763" 101 249
"1764" 103 240
"1765" 128 250
"1766" 242 233
"1767" 192 237
"1768" 256 259
"1769" 103 266
"1770" 207 250
"1771" 85 246
"1772" 263 259
"1773" 240 251
"1774" 253 237
"1775" 83 238
"1776" 269 250
"1777" 247 246
"1778" 111 246
"1779" 262 251
"1780" 92 233
"1781" 246 240
"1782" 264 251
"1783" 94 245
"1784" 92 255
"1785" 101 251
"1786" 115 237
"1787" 236 250
"1788" 108 261
"1789" 244 246
"1790" 226 272
"1791" 105 242
"1792" 204 241
"1793" 258 259
"1794" 237 230
"1795" 181 239
"1796" 247 262
"1797" 243 231
"1798" 121 260
"1799" 195 248
"1800" 210 258
"1801" 93 230
"1802" 99 243
"1803" 202 252
"1804" 254 273
"1805" 91 250
"1806" 253 265
"1807" 103 244
"1808" 198 246
"1809" 254 229
"1810" 259 270
"1811" 259 241
"1812" 249 261
"1813" 103 243
"1814" 97 254
"1815" 256 253
"1816" 253 266
"1817" 81 234
"1818" 187 240
"1819" 245 240
"1820" 233 254
"1821" 185 233
"1822" 84 237
"1823" 207 258
"1824" 254 256
"1825" 83 224
"1826" 201 257
"1827" 114 268
"1828" 85 260
"1829" 195 256
"1830" 100 255
"1831" 258 261
"1832" 251 249
"1833" 113 255
"1834" 250 236
"1835" 180 223
"1836" 197 257
"1837" 99 263
"1838" 248 264
"1839" 258 268
"1840" 250 254
"1841" 191 247
"1842" 243 252
"1843" 254 269
"1844" 94 237
"1845" 203 252
"1846" 202 254
"1847" 261 258
"1848" 255 239
"1849" 87 233
"1850" 246 242
"1851" 101 256
"1852" 273 261
"1853" 189 254
"1854" 89 251
"1855" 107 263
"1856" 205 250
"1857" 103 247
"1858" 249 266
"1859" 198 254
"1860" 237 236
"1861" 101 252
"1862" 262 260
"1863" 251 267
"1864" 101 259
"1865" 94 238
"1866" 248 258
"1867" 241 249
"1868" 99 254
"1869" 109 261
"1870" 199 248
"1871" 248 249
"1872" 89 248
"1873" 243 257
"1874" 245 242
"1875" 251 265
"1876" 242 242
"1877" 197 262
"1878" 260 264
"1879" 242 249
"1880" 235 221
"1881" 116 275
"1882" 257 247
"1883" 200 247
"1884" 197 242
"1885" 104 249
"1886" 109 245
"1887" 250 256
"1888" 83 248
"1889" 256 246
"1890" 102 250
"1891" 103 261
"1892" 202 251
"1893" 253 234
"1894" 260 258
"1895" 199 248
"1896" 100 254
"1897" 98 246
"1898" 251 253
"1899" 117 242
"1900" 84 245
"1901" 201 259
"1902" 234 250
"1903" 182 237
"1904" 87 252
"1905" 264 251
"1906" 191 247
"1907" 199 248
"1908" 186 257
"1909" 205 247
"1910" 117 255
"1911" 247 246
"1912" 89 258
"1913" 246 254
"1914" 242 250
"1915" 247 250
"1916" 193 237
"1917" 108 259
"1918" 251 244
"1919" 189 228
"1920" 237 225
"1921" 234 242
"1922" 105 252
"1923" 207 255
"1924" 112 263
"1925" 220 264
"1926" 260 257
"1927" 237 254
"1928" 114 255
"1929" 101 235
"1930" 241 242
"1931" 242 245
"1932" 247 246
"1933" 103 242
"1934" 107 252
"1935" 243 238
"1936" 211 255
"1937" 124 250
"1938" 259 251
"1939" 90 261
"1940" 120 258
"1941" 188 247
"1942" 249 244
"1943" 211 238
"1944" 199 248
"1945" 92 231
"1946" 252 239
"1947" 249 247
"1948" 198 267
"1949" 256 251
"1950" 245 252
"1951" 264 259
"1952" 104 249
"1953" 106 262
"1954" 259 278
"1955" 251 252
"1956" 256 246
"1957" 258 249
"1958" 189 239
"1959" 238 238
"1960" 247 272
"1961" 109 258
"1962" 113 253
"1963" 130 276
"1964" 256 243
"1965" 117 257
"1966" 104 249
"1967" 239 238
"1968" 242 252
"1969" 228 255
"1970" 96 251
"1971" 247 233
"1972" 199 258
"1973" 255 256
"1974" 85 234
"1975" 82 241
"1976" 198 259
"1977" 239 236
"1978" 242 229
"1979" 117 265
"1980" 99 262
"1981" 94 232
"1982" 242 233
"1983" 247 253
"1984" 101 257
"1985" 248 263
"1986" 246 244
"1987" 209 275
"1988" 241 250
"1989" 103 264
"1990" 239 246
"1991" 107 249
"1992" 88 241
"1993" 242 242
"1994" 187 234
"1995" 265 239
"1996" 267 262
"1997" 260 272
"1998" 238 243
"1999" 95 259
"2000" 87 240
